,date,1. open,2. high,3. low,4. close
EURUSD,2024-04-23,1.06543,1.07113,1.0638,1.07007
EURUSD,2024-04-22,1.06556,1.06706,1.06237,1.06513
EURUSD,2024-04-19,1.06431,1.06776,1.06102,1.06526
EURUSD,2024-04-18,1.06715,1.069,1.0641,1.06435
EURUSD,2024-04-17,1.06164,1.06796,1.06059,1.06709
EURUSD,2024-04-16,1.06238,1.06535,1.0601,1.06146
EURUSD,2024-04-15,1.06337,1.06652,1.062,1.06234
EURUSD,2024-04-12,1.07265,1.07293,1.0622,1.06385
EURUSD,2024-04-11,1.07429,1.07566,1.06989,1.07267
EURUSD,2024-04-10,1.08569,1.08665,1.07285,1.07429
EURUSD,2024-04-09,1.08589,1.08851,1.08475,1.08575
EURUSD,2024-04-08,1.08371,1.0863,1.08206,1.0859
EURUSD,2024-04-05,1.08381,1.0848,1.07912,1.0836
EURUSD,2024-04-04,1.08331,1.08766,1.08314,1.08382
EURUSD,2024-04-03,1.07722,1.0837,1.07637,1.08334
EURUSD,2024-04-02,1.07435,1.0779,1.07244,1.07734
EURUSD,2024-04-01,1.0791,1.0799,1.07307,1.07428
EURUSD,2024-03-29,1.07889,1.08051,1.07677,1.079
EURUSD,2024-03-28,1.0826,1.0827,1.07748,1.0789
EURUSD,2024-03-27,1.08319,1.08391,1.08104,1.08258
EURUSD,2024-03-26,1.08364,1.08643,1.0824,1.08316
EURUSD,2024-03-25,1.08074,1.08426,1.08019,1.08359
EURUSD,2024-03-22,1.08605,1.08681,1.08015,1.0805
EURUSD,2024-03-21,1.09206,1.09426,1.08551,1.08605
EURUSD,2024-03-20,1.08653,1.0923,1.0836,1.09211
EURUSD,2024-03-19,1.08728,1.08766,1.08345,1.08649
EURUSD,2024-03-18,1.08878,1.09061,1.08658,1.08721
EURUSD,2024-03-15,1.08853,1.08997,1.08726,1.08869
EURUSD,2024-03-14,1.09485,1.0955,1.08804,1.08847
EURUSD,2024-03-13,1.09258,1.09638,1.09199,1.09479
EURUSD,2024-03-12,1.09258,1.09438,1.09021,1.09255
EURUSD,2024-03-11,1.09393,1.09481,1.0914,1.09257
EURUSD,2024-03-08,1.0948,1.09813,1.09183,1.09381
EURUSD,2024-03-07,1.0898,1.09493,1.08677,1.0948
EURUSD,2024-03-06,1.0856,1.09153,1.08418,1.08986
EURUSD,2024-03-05,1.0856,1.08762,1.08401,1.08547
EURUSD,2024-03-04,1.0838,1.0867,1.08349,1.08555
EURUSD,2024-03-01,1.08046,1.08432,1.0798,1.08368
EURUSD,2024-02-29,1.08363,1.0856,1.07956,1.08053
EURUSD,2024-02-28,1.08437,1.08474,1.07965,1.08377
EURUSD,2024-02-27,1.08504,1.0866,1.08328,1.08437
EURUSD,2024-02-26,1.08319,1.08597,1.08124,1.08509
EURUSD,2024-02-23,1.08221,1.08396,1.08115,1.08188
EURUSD,2024-02-22,1.08182,1.08882,1.08025,1.08222
EURUSD,2024-02-21,1.08075,1.08245,1.07897,1.08185
EURUSD,2024-02-20,1.0777,1.0839,1.07614,1.08076
EURUSD,2024-02-19,1.07719,1.07894,1.07618,1.07785
EURUSD,2024-02-16,1.07718,1.07874,1.07318,1.07749
EURUSD,2024-02-15,1.07243,1.07848,1.07224,1.0772
EURUSD,2024-02-14,1.07087,1.07344,1.06945,1.07264
EURUSD,2024-02-13,1.07708,1.07985,1.07003,1.07079
EURUSD,2024-02-12,1.07778,1.08055,1.07556,1.07713
EURUSD,2024-02-09,1.07767,1.07951,1.07619,1.07821
EURUSD,2024-02-08,1.07704,1.07889,1.07414,1.07775
EURUSD,2024-02-07,1.0754,1.0784,1.07487,1.07717
EURUSD,2024-02-06,1.07418,1.07623,1.07224,1.07545
EURUSD,2024-02-05,1.0785,1.07861,1.07229,1.07419
EURUSD,2024-02-02,1.08714,1.08974,1.07802,1.07849
EURUSD,2024-02-01,1.0818,1.0875,1.07797,1.08713
EURUSD,2024-01-31,1.08446,1.08874,1.07947,1.0818
EURUSD,2024-01-30,1.0832,1.08573,1.08117,1.08447
EURUSD,2024-01-29,1.0843,1.08501,1.07956,1.08328
EURUSD,2024-01-26,1.08449,1.08854,1.08125,1.08512
EURUSD,2024-01-25,1.08843,1.09018,1.08214,1.08454
EURUSD,2024-01-24,1.0854,1.09323,1.08462,1.08843
EURUSD,2024-01-23,1.0882,1.09162,1.08214,1.08541
EURUSD,2024-01-22,1.08901,1.09095,1.08797,1.08824
EURUSD,2024-01-19,1.08757,1.08983,1.08654,1.0896
EURUSD,2024-01-18,1.08811,1.09068,1.08464,1.08762
EURUSD,2024-01-17,1.0874,1.08845,1.08443,1.08827
EURUSD,2024-01-16,1.09482,1.0951,1.0862,1.08751
EURUSD,2024-01-15,1.0953,1.09676,1.0933,1.09483
EURUSD,2024-01-12,1.09715,1.0987,1.09356,1.09483
EURUSD,2024-01-11,1.09722,1.09999,1.093,1.09723
EURUSD,2024-01-10,1.09294,1.09731,1.09226,1.09724
EURUSD,2024-01-09,1.09501,1.09663,1.09101,1.0931
EURUSD,2024-01-08,1.09446,1.09788,1.09224,1.09495
EURUSD,2024-01-05,1.0944,1.09984,1.08767,1.09392
EURUSD,2024-01-04,1.09209,1.09722,1.09142,1.09447
EURUSD,2024-01-03,1.09414,1.09654,1.08928,1.09215
EURUSD,2024-01-02,1.10438,1.10454,1.0938,1.09416
EURUSD,2024-01-01,1.104,1.1046,1.1034,1.1044
EURUSD,2023-12-29,1.10594,1.10842,1.10338,1.10374
EURUSD,2023-12-28,1.11044,1.11395,1.10549,1.10593
EURUSD,2023-12-27,1.10417,1.11226,1.10284,1.11044
EURUSD,2023-12-26,1.1011,1.1045,1.10073,1.10417
EURUSD,2023-12-25,1.1016,1.10202,1.09913,1.1008
EURUSD,2023-12-22,1.10109,1.10401,1.09935,1.1011
EURUSD,2023-12-21,1.09413,1.10126,1.09347,1.10109
EURUSD,2023-12-20,1.09787,1.09843,1.09296,1.09413
EURUSD,2023-12-19,1.09228,1.09873,1.09145,1.09805
EURUSD,2023-12-18,1.0897,1.09312,1.08914,1.09235
EURUSD,2023-12-15,1.09912,1.10038,1.08885,1.08922
EURUSD,2023-12-14,1.08728,1.10092,1.087,1.09921
EURUSD,2023-12-13,1.07937,1.08966,1.07729,1.08742
EURUSD,2023-12-12,1.07631,1.08281,1.0757,1.07943
EURUSD,2023-12-11,1.0759,1.0779,1.07414,1.0764
EURUSD,2023-12-08,1.07918,1.08007,1.0723,1.07608
EURUSD,2023-12-07,1.07621,1.08175,1.07548,1.07936
EURUSD,2023-12-06,1.07965,1.08047,1.07583,1.07643
USDJPY,2024-04-23,154.804,154.875,154.55,154.8
USDJPY,2024-04-22,154.457,154.849,154.457,154.811
USDJPY,2024-04-19,154.59,154.673,153.584,154.562
USDJPY,2024-04-18,154.319,154.68,153.951,154.594
USDJPY,2024-04-17,154.65,154.763,154.154,154.317
USDJPY,2024-04-16,154.22,154.784,153.89,154.65
USDJPY,2024-04-15,153.1,154.445,153.082,154.223
USDJPY,2024-04-12,153.213,153.386,152.588,153.24
USDJPY,2024-04-11,152.985,153.318,152.753,153.202
USDJPY,2024-04-10,151.744,153.238,151.678,152.984
USDJPY,2024-04-09,151.813,151.936,151.564,151.736
USDJPY,2024-04-08,151.6,151.944,151.57,151.812
USDJPY,2024-04-05,151.308,151.75,150.807,151.609
USDJPY,2024-04-04,151.648,151.77,151.116,151.302
USDJPY,2024-04-03,151.561,151.953,151.437,151.642
USDJPY,2024-04-02,151.626,151.801,151.46,151.562
USDJPY,2024-04-01,151.305,151.772,151.214,151.618
USDJPY,2024-03-29,151.373,151.496,151.16,151.303
USDJPY,2024-03-28,151.25,151.544,151.144,151.368
USDJPY,2024-03-27,151.51,151.971,151.022,151.249
USDJPY,2024-03-26,151.402,151.603,151.202,151.501
USDJPY,2024-03-25,151.375,151.545,151.048,151.405
USDJPY,2024-03-22,151.596,151.862,150.998,151.429
USDJPY,2024-03-21,151.195,151.753,150.259,151.58
USDJPY,2024-03-20,150.799,151.817,150.712,151.195
USDJPY,2024-03-19,149.107,150.962,148.988,150.806
USDJPY,2024-03-18,149.048,149.33,148.904,149.106
USDJPY,2024-03-15,148.279,149.164,148.028,149.033
USDJPY,2024-03-14,147.616,148.358,147.428,148.285
USDJPY,2024-03-13,147.618,148.047,147.228,147.619
USDJPY,2024-03-12,146.968,148.186,146.613,147.621
USDJPY,2024-03-11,147.057,147.147,146.483,146.964
USDJPY,2024-03-08,148.037,148.117,146.478,147.03
USDJPY,2024-03-07,149.349,149.37,147.582,148.045
USDJPY,2024-03-06,150.03,150.084,149.089,149.367
USDJPY,2024-03-05,150.514,150.546,149.7,150.036
USDJPY,2024-03-04,149.975,150.57,149.836,150.524
USDJPY,2024-03-01,149.968,150.72,149.915,150.064
USDJPY,2024-02-29,150.688,150.688,149.204,149.971
USDJPY,2024-02-28,150.503,150.844,150.368,150.685
USDJPY,2024-02-27,150.689,150.705,150.068,150.487
USDJPY,2024-02-26,150.476,150.838,150.288,150.697
USDJPY,2024-02-23,150.527,150.77,150.29,150.473
USDJPY,2024-02-22,150.294,150.689,150.012,150.528
USDJPY,2024-02-21,149.994,150.393,149.848,150.274
USDJPY,2024-02-20,150.077,150.438,149.679,150.003
USDJPY,2024-02-19,150.075,150.257,149.869,150.112
USDJPY,2024-02-16,149.904,150.646,149.818,150.181
USDJPY,2024-02-15,150.535,150.589,149.522,149.906
USDJPY,2024-02-14,150.781,150.808,150.339,150.556
USDJPY,2024-02-13,149.332,150.885,149.224,150.779
USDJPY,2024-02-12,149.239,149.481,148.922,149.34
USDJPY,2024-02-09,149.298,149.575,149.002,149.256
USDJPY,2024-02-08,148.171,149.479,147.925,149.315
USDJPY,2024-02-07,147.939,148.258,147.618,148.179
USDJPY,2024-02-06,148.667,148.789,147.797,147.934
USDJPY,2024-02-05,148.401,148.895,148.262,148.667
USDJPY,2024-02-02,146.398,148.584,146.237,148.308
USDJPY,2024-02-01,146.886,147.114,145.891,146.408
USDJPY,2024-01-31,147.592,147.898,146.005,146.889
USDJPY,2024-01-30,147.48,147.927,147.094,147.599
USDJPY,2024-01-29,148.09,148.333,147.248,147.497
USDJPY,2024-01-26,147.648,148.209,147.393,148.149
USDJPY,2024-01-25,147.505,147.958,147.077,147.658
USDJPY,2024-01-24,148.303,148.391,146.644,147.494
USDJPY,2024-01-23,148.082,148.696,146.967,148.327
USDJPY,2024-01-22,148.237,148.304,147.614,148.095
USDJPY,2024-01-19,148.15,148.804,147.834,148.128
USDJPY,2024-01-18,148.139,148.3,147.65,148.153
USDJPY,2024-01-17,147.173,148.524,147.044,148.155
USDJPY,2024-01-16,145.715,147.311,145.58,147.172
USDJPY,2024-01-15,144.878,145.941,144.791,145.715
USDJPY,2024-01-12,145.266,145.566,144.349,144.904
USDJPY,2024-01-11,145.746,146.415,144.968,145.28
USDJPY,2024-01-10,144.464,145.831,144.31,145.755
USDJPY,2024-01-09,144.224,144.623,143.416,144.47
USDJPY,2024-01-08,144.566,144.919,143.656,144.222
USDJPY,2024-01-05,144.621,145.976,143.801,144.603
USDJPY,2024-01-04,143.277,144.85,142.85,144.624
USDJPY,2024-01-03,141.985,143.736,141.854,143.29
USDJPY,2024-01-02,140.849,142.216,140.799,141.983
