,symbol,date,1. open_x,2. high_x,3. low_x,4. close_x,5. volume,daily_return,currencyPair,1. open_y,2. high_y,3. low_y,4. close_y
0,AAPL,2024-04-23,165.26,167.05,164.93,166.9,49298369.0,,EURUSD,1.06543,1.07113,1.0638,1.07007
1,AAPL,2024-04-23,165.26,167.05,164.93,166.9,49298369.0,,USDJPY,154.804,154.875,154.55,154.8
2,AAPL,2024-04-23,165.26,167.05,164.93,166.9,49298369.0,,GBPUSD,1.23492,1.24585,1.23315,1.24492
3,MSFT,2024-04-23,404.02,408.2,403.06,407.57,15634563.0,115.22416433437184,EURUSD,1.06543,1.07113,1.0638,1.07007
4,MSFT,2024-04-23,404.02,408.2,403.06,407.57,15634563.0,115.22416433437184,USDJPY,154.804,154.875,154.55,154.8
5,MSFT,2024-04-23,404.02,408.2,403.06,407.57,15634563.0,115.22416433437184,GBPUSD,1.23492,1.24585,1.23315,1.24492
6,GOOGL,2024-04-23,156.95,158.97,156.28,158.26,21067377.0,-58.22621090141218,EURUSD,1.06543,1.07113,1.0638,1.07007
7,GOOGL,2024-04-23,156.95,158.97,156.28,158.26,21067377.0,-58.22621090141218,USDJPY,154.804,154.875,154.55,154.8
8,GOOGL,2024-04-23,156.95,158.97,156.28,158.26,21067377.0,-58.22621090141218,GBPUSD,1.23492,1.24585,1.23315,1.24492
9,AAPL,2024-04-22,165.515,167.26,164.77,165.84,48116443.0,-0.6351108448172549,EURUSD,1.06556,1.06706,1.06237,1.06513
10,AAPL,2024-04-22,165.515,167.26,164.77,165.84,48116443.0,-0.6351108448172549,USDJPY,154.457,154.849,154.457,154.811
11,AAPL,2024-04-22,165.515,167.26,164.77,165.84,48116443.0,-0.6351108448172549,GBPUSD,1.23678,1.23921,1.2299,1.23495
12,MSFT,2024-04-22,400.08,402.85,395.75,400.96,20286875.0,-1.6218072969060526,EURUSD,1.06556,1.06706,1.06237,1.06513
13,MSFT,2024-04-22,400.08,402.85,395.75,400.96,20286875.0,-1.6218072969060526,USDJPY,154.457,154.849,154.457,154.811
14,MSFT,2024-04-22,400.08,402.85,395.75,400.96,20286875.0,-1.6218072969060526,GBPUSD,1.23678,1.23921,1.2299,1.23495
15,GOOGL,2024-04-22,154.31,157.64,154.06,156.28,26446206.0,-1.2511057753064492,EURUSD,1.06556,1.06706,1.06237,1.06513
16,GOOGL,2024-04-22,154.31,157.64,154.06,156.28,26446206.0,-1.2511057753064492,USDJPY,154.457,154.849,154.457,154.811
17,GOOGL,2024-04-22,154.31,157.64,154.06,156.28,26446206.0,-1.2511057753064492,GBPUSD,1.23678,1.23921,1.2299,1.23495
18,AAPL,2024-04-19,166.21,166.4,164.075,165.0,68149377.0,-0.506512301013029,EURUSD,1.06431,1.06776,1.06102,1.06526
19,AAPL,2024-04-19,166.21,166.4,164.075,165.0,68149377.0,-0.506512301013029,USDJPY,154.59,154.673,153.584,154.562
20,AAPL,2024-04-19,166.21,166.4,164.075,165.0,68149377.0,-0.506512301013029,GBPUSD,1.2438,1.24682,1.23663,1.23695
21,MSFT,2024-04-19,404.03,405.48,397.77,399.12,30565789.0,-0.45889864325617813,EURUSD,1.06431,1.06776,1.06102,1.06526
22,MSFT,2024-04-19,404.03,405.48,397.77,399.12,30565789.0,-0.45889864325617813,USDJPY,154.59,154.673,153.584,154.562
23,MSFT,2024-04-19,404.03,405.48,397.77,399.12,30565789.0,-0.45889864325617813,GBPUSD,1.2438,1.24682,1.23663,1.23695
24,GOOGL,2024-04-19,156.2,156.36,152.3,154.09,32615639.0,-1.4013309444586675,EURUSD,1.06431,1.06776,1.06102,1.06526
25,GOOGL,2024-04-19,156.2,156.36,152.3,154.09,32615639.0,-1.4013309444586675,USDJPY,154.59,154.673,153.584,154.562
26,GOOGL,2024-04-19,156.2,156.36,152.3,154.09,32615639.0,-1.4013309444586675,GBPUSD,1.2438,1.24682,1.23663,1.23695
27,AAPL,2024-04-18,168.03,168.64,166.55,167.04,43122903.0,1.2363636363636354,EURUSD,1.06715,1.069,1.0641,1.06435
28,AAPL,2024-04-18,168.03,168.64,166.55,167.04,43122903.0,1.2363636363636354,USDJPY,154.319,154.68,153.951,154.594
29,AAPL,2024-04-18,168.03,168.64,166.55,167.04,43122903.0,1.2363636363636354,GBPUSD,1.24547,1.24845,1.24332,1.24391
30,MSFT,2024-04-18,410.63,411.89,403.95,404.27,21029917.0,1.2903387452395165,EURUSD,1.06715,1.069,1.0641,1.06435
31,MSFT,2024-04-18,410.63,411.89,403.95,404.27,21029917.0,1.2903387452395165,USDJPY,154.319,154.68,153.951,154.594
32,MSFT,2024-04-18,410.63,411.89,403.95,404.27,21029917.0,1.2903387452395165,GBPUSD,1.24547,1.24845,1.24332,1.24391
33,GOOGL,2024-04-18,155.34,156.94,154.62,156.01,19883044.0,1.246025050295274,EURUSD,1.06715,1.069,1.0641,1.06435
34,GOOGL,2024-04-18,155.34,156.94,154.62,156.01,19883044.0,1.246025050295274,USDJPY,154.319,154.68,153.951,154.594
35,GOOGL,2024-04-18,155.34,156.94,154.62,156.01,19883044.0,1.246025050295274,GBPUSD,1.24547,1.24845,1.24332,1.24391
36,AAPL,2024-04-17,169.61,170.65,168.0,168.0,50901210.0,0.5747126436781658,EURUSD,1.06164,1.06796,1.06059,1.06709
37,AAPL,2024-04-17,169.61,170.65,168.0,168.0,50901210.0,0.5747126436781658,USDJPY,154.65,154.763,154.154,154.317
38,AAPL,2024-04-17,169.61,170.65,168.0,168.0,50901210.0,0.5747126436781658,GBPUSD,1.24273,1.24817,1.24166,1.24548
39,MSFT,2024-04-17,417.25,418.88,410.33,411.84,15855485.0,1.8725109456551259,EURUSD,1.06164,1.06796,1.06059,1.06709
40,MSFT,2024-04-17,417.25,418.88,410.33,411.84,15855485.0,1.8725109456551259,USDJPY,154.65,154.763,154.154,154.317
41,MSFT,2024-04-17,417.25,418.88,410.33,411.84,15855485.0,1.8725109456551259,GBPUSD,1.24273,1.24817,1.24166,1.24548
42,GOOGL,2024-04-17,155.62,157.08,154.58,155.47,21763130.0,-0.3461316582270335,EURUSD,1.06164,1.06796,1.06059,1.06709
43,GOOGL,2024-04-17,155.62,157.08,154.58,155.47,21763130.0,-0.3461316582270335,USDJPY,154.65,154.763,154.154,154.317
44,GOOGL,2024-04-17,155.62,157.08,154.58,155.47,21763130.0,-0.3461316582270335,GBPUSD,1.24273,1.24817,1.24166,1.24548
45,AAPL,2024-04-16,171.75,173.76,168.27,169.38,73711235.0,0.821428571428573,EURUSD,1.06238,1.06535,1.0601,1.06146
46,AAPL,2024-04-16,171.75,173.76,168.27,169.38,73711235.0,0.821428571428573,USDJPY,154.22,154.784,153.89,154.65
47,AAPL,2024-04-16,171.75,173.76,168.27,169.38,73711235.0,0.821428571428573,GBPUSD,1.24449,1.24719,1.24053,1.24258
